trip_id,stop_id,direction,arrival,departure,stop_seq,timepoint,pickup,dropoff,display,driver
1-1-R1-S1-20,415a,Lewis North,13:58:30,13:58:30,17,0,3,3,1,
1-1-R1-S1-20,452a,Lewis North,14:01:00,14:01:00,18,0,3,3,1,
1-1-R1-S1-20,465a,Lewis North,14:02:00,14:02:00,19,0,3,3,1,
1-1-R1-S1-20,474a,Lewis North,14:03:00,14:03:00,20,0,3,3,1,
1-1-R1-S1-21,100a,Lewis North,14:40:00,14:40:00,0,1,0,0,1,
1-1-R1-S1-21,101a,Lewis North,14:40:45,14:40:45,1,0,3,3,1,
1-1-R1-S1-21,140a,Lewis North,14:41:30,14:41:30,2,0,3,3,1,
1-1-R1-S1-21,141a,Lewis North,14:42:00,14:42:00,3,0,3,3,1,
1-1-R1-S1-21,201a,Lewis North,14:43:30,14:43:30,4,0,3,3,1,
1-1-R1-S1-21,212a,Lewis North,14:44:00,14:44:00,5,0,3,3,1,
1-1-R1-S1-21,217a,Lewis North,14:45:00,14:45:00,6,0,3,3,1,
1-1-R1-S1-21,303a,Lewis North,14:47:00,14:47:00,7,0,3,3,1,
1-1-R1-S1-21,305a,Lewis North,14:47:30,14:47:30,8,0,3,3,1,
1-1-R1-S1-21,307a,Lewis North,14:48:00,14:48:00,9,0,3,3,1,
1-1-R1-S1-21,308a,Lewis North,14:48:30,14:48:30,10,0,3,3,1,
1-1-R1-S1-21,310a,Lewis North,14:49:00,14:49:00,11,0,3,3,1,
1-1-R1-S1-21,313a,Lewis North,14:49:30,14:49:30,12,0,3,3,1,
1-1-R1-S1-21,400a,Lewis North,14:51:00,14:51:00,13,0,3,3,1,
1-1-R1-S1-21,410a,Lewis North,14:56:00,14:56:00,14,0,3,3,1,
1-1-R1-S1-21,413a,Lewis North,14:57:00,14:57:00,15,0,3,3,1,
1-1-R1-S1-21,414a,Lewis North,14:58:00,14:58:00,16,0,3,3,1,
1-1-R1-S1-21,415a,Lewis North,14:58:30,14:58:30,17,0,3,3,1,
